                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76945,                 1.0946,                 1.2571,                0.74148,                0.67637,                 0.7445,                0.56585,                 1.0292,                 1.2179,                 1.6176,             0.00021396,             0.00021396,             0.00021396
                     36,                0.75798,                 1.0565,                 1.2534,                0.73906,                0.71886,                0.77466,                0.59403,                 1.0142,                 1.1231,                 1.6081,             0.00021153,             0.00021153,             0.00021153
                     37,                0.76661,                 1.0623,                 1.2454,                0.78767,                0.69532,                0.77179,                 0.5943,                 1.0101,                 1.1265,                 1.5999,             0.00020911,             0.00020911,             0.00020911
                     38,                0.74879,                 1.0357,                 1.2301,                0.75732,                0.72354,                 0.7648,                0.58599,                 1.0239,                 1.1241,                 1.6289,             0.00020668,             0.00020668,             0.00020668
                     39,                0.76301,                0.99982,                 1.2521,                0.68356,                0.78916,                0.77567,                0.58877,                 1.0053,                 1.1391,                 1.5955,             0.00020426,             0.00020426,             0.00020426
                     40,                0.74713,                0.99831,                  1.242,                0.76939,                0.73457,                0.78511,                0.60017,                  1.006,                 1.1074,                 1.5848,             0.00020183,             0.00020183,             0.00020183
                     41,                0.75511,                 1.0177,                 1.2525,                0.72351,                0.80292,                0.79658,                0.61718,                0.99724,                 1.0432,                 1.5948,             0.00019941,             0.00019941,             0.00019941
                     42,                0.73483,                0.99152,                  1.233,                0.69415,                0.76986,                0.77962,                 0.6058,                 1.0087,                 1.0546,                 1.6114,             0.00019698,             0.00019698,             0.00019698
                     43,                0.74731,                0.97447,                 1.2351,                0.66178,                0.83298,                0.78012,                 0.5915,                 1.0236,                 1.0604,                 1.6151,             0.00019455,             0.00019455,             0.00019455
                     44,                0.72507,                0.96364,                 1.2292,                0.79521,                0.68887,                0.77311,                0.58754,                 1.0346,                 1.0896,                 1.6244,             0.00019213,             0.00019213,             0.00019213
                     45,                0.74311,                0.95323,                 1.2289,                0.73311,                0.76383,                0.78863,                0.60906,                0.99698,                  1.116,                 1.5988,              0.0001897,              0.0001897,              0.0001897
                     46,                0.72253,                0.93787,                 1.2156,                 0.6664,                0.81707,                  0.772,                0.59175,                 1.0193,                 1.1356,                 1.5958,             0.00018728,             0.00018728,             0.00018728
                     47,                0.72427,                0.94254,                 1.2185,                0.68949,                 0.7979,                0.78392,                0.60321,                 1.0175,                  1.104,                 1.6076,             0.00018485,             0.00018485,             0.00018485
                     48,                0.71331,                0.91827,                 1.2151,                0.66972,                0.81852,                0.78841,                0.60885,                0.99925,                 1.0552,                 1.5752,             0.00018243,             0.00018243,             0.00018243
                     49,                0.71625,                0.89999,                 1.2184,                0.78767,                0.74345,                0.79419,                0.60808,                 1.0109,                 1.0438,                 1.5964,                0.00018,                0.00018,                0.00018
                     50,                0.70998,                0.88119,                 1.2065,                 0.6822,                0.81246,                0.77492,                0.59518,                 1.0231,                 1.0976,                 1.6059,             0.00017758,             0.00017758,             0.00017758
