                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                0.90272,                 1.7035,                 1.3884,                0.69769,                0.65036,                0.71062,                 0.5093,                 1.0708,                 1.4844,                 1.7059,             0.00026489,             0.00026489,             0.00026489
                     15,                0.89569,                 1.6623,                 1.3818,                0.61839,                0.68595,                0.69697,                0.50264,                 1.0681,                 1.4889,                 1.7102,             0.00026247,             0.00026247,             0.00026247
                     16,                0.90988,                 1.6101,                 1.3889,                  0.613,                0.65061,                0.66818,                0.48561,                 1.0588,                 1.4653,                 1.6688,             0.00026004,             0.00026004,             0.00026004
                     17,                0.89561,                 1.5838,                 1.3711,                0.61016,                0.70226,                0.70732,                0.51752,                 1.0614,                 1.5702,                 1.6896,             0.00025762,             0.00025762,             0.00025762
                     18,                0.88009,                 1.5448,                 1.3555,                0.63073,                0.73893,                0.72707,                0.52822,                 1.0614,                 1.3536,                 1.6697,             0.00025519,             0.00025519,             0.00025519
                     19,                0.87367,                 1.4633,                 1.3587,                0.64176,                0.74257,                0.74223,                0.54538,                 1.0603,                 1.3322,                 1.6763,             0.00025277,             0.00025277,             0.00025277
                     20,                0.85439,                 1.4114,                 1.3289,                0.66769,                 0.6378,                0.67664,                0.49404,                 1.0591,                 1.4598,                  1.694,             0.00025034,             0.00025034,             0.00025034
                     21,                0.86688,                 1.4353,                 1.3456,                0.60662,                 0.7585,                0.75363,                0.54367,                  1.056,                 1.3652,                 1.6826,             0.00024792,             0.00024792,             0.00024792
                     22,                0.85769,                 1.4078,                 1.3355,                0.70484,                0.75111,                0.74847,                0.54973,                  1.028,                 1.2665,                 1.6265,             0.00024549,             0.00024549,             0.00024549
                     23,                0.82708,                 1.3629,                 1.3075,                0.64883,                0.74107,                0.75008,                0.55638,                 1.0943,                 1.3522,                 1.7217,             0.00024306,             0.00024306,             0.00024306
                     24,                0.84157,                 1.3693,                 1.3235,                0.62201,                0.79201,                 0.7522,                0.55485,                 1.0685,                 1.3115,                 1.6826,             0.00024064,             0.00024064,             0.00024064
                     25,                  0.846,                 1.3396,                 1.3255,                0.69369,                0.70971,                0.75449,                0.55669,                 1.0631,                 1.2589,                  1.667,             0.00023821,             0.00023821,             0.00023821
                     26,                0.84286,                 1.3096,                 1.3304,                0.65573,                0.74532,                0.75183,                  0.558,                 1.0738,                 1.2872,                 1.6792,             0.00023579,             0.00023579,             0.00023579
                     27,                0.83461,                  1.293,                 1.3062,                0.68841,                 0.7446,                0.77469,                0.58365,                 1.0436,                 1.1896,                  1.651,             0.00023336,             0.00023336,             0.00023336
                     28,                0.82258,                 1.2879,                 1.3101,                0.74526,                0.69396,                0.73352,                 0.5394,                 1.0689,                 1.2918,                 1.6666,             0.00023094,             0.00023094,             0.00023094
                     29,                0.82811,                 1.2695,                 1.3094,                0.66321,                0.80345,                0.77624,                0.59009,                  1.051,                 1.2212,                 1.6699,             0.00022851,             0.00022851,             0.00022851
                     30,                0.83981,                 1.2729,                 1.3149,                0.66455,                0.75225,                0.78713,                0.59346,                 1.0557,                 1.2769,                 1.6643,             0.00022609,             0.00022609,             0.00022609
                     31,                0.82447,                 1.2244,                 1.3047,                0.67312,                0.75798,                0.76826,                 0.5811,                 1.0543,                 1.2243,                 1.6617,             0.00022366,             0.00022366,             0.00022366
                     32,                0.81515,                 1.1965,                 1.3022,                0.64185,                0.80295,                0.76083,                0.57113,                 1.0362,                 1.2934,                 1.6532,             0.00022123,             0.00022123,             0.00022123
                     33,                0.80701,                 1.2072,                 1.2956,                0.60935,                0.83374,                0.78071,                0.58402,                 1.0462,                 1.1914,                 1.6575,             0.00021881,             0.00021881,             0.00021881
                     34,                0.81129,                 1.1792,                 1.3011,                  0.679,                0.75479,                0.76433,                0.57863,                 1.0447,                 1.2362,                 1.6439,             0.00021638,             0.00021638,             0.00021638
                     35,                0.80008,                 1.1708,                 1.2989,                0.76526,                0.70459,                0.76498,                0.56617,                 1.0808,                 1.2415,                 1.6952,             0.00021396,             0.00021396,             0.00021396
                     36,                  0.804,                  1.145,                 1.3019,                0.65729,                0.76403,                0.77649,                0.58413,                 1.0344,                 1.1475,                 1.6363,             0.00021153,             0.00021153,             0.00021153
                     37,                0.79883,                 1.1239,                 1.2819,                0.79806,                0.71723,                0.76851,                0.57554,                 1.0379,                 1.1926,                 1.6455,             0.00020911,             0.00020911,             0.00020911
                     38,                0.79082,                 1.1007,                 1.2642,                0.75239,                0.74375,                0.77453,                0.57941,                 1.0457,                 1.1325,                 1.6586,             0.00020668,             0.00020668,             0.00020668
                     39,                 0.8006,                 1.1051,                 1.2894,                 0.7089,                0.79701,                 0.7976,                 0.5999,                 1.0155,                 1.1584,                 1.6127,             0.00020426,             0.00020426,             0.00020426
                     40,                0.77724,                 1.0947,                 1.2733,                0.75542,                0.75119,                0.79136,                0.59847,                  1.015,                 1.1318,                 1.6086,             0.00020183,             0.00020183,             0.00020183
                     41,                0.79412,                 1.0904,                 1.2934,                0.69374,                0.79273,                0.79895,                 0.6067,                 1.0033,                 1.0784,                  1.591,             0.00019941,             0.00019941,             0.00019941
                     42,                0.77203,                 1.0707,                 1.2697,                0.75353,                0.79783,                0.80699,                0.61447,                 1.0199,                 1.0573,                 1.6208,             0.00019698,             0.00019698,             0.00019698
                     43,                0.79494,                 1.0784,                 1.2736,                0.78977,                0.71503,                0.80062,                0.59899,                 1.0224,                 1.1018,                 1.6301,             0.00019455,             0.00019455,             0.00019455
                     44,                0.76717,                   1.05,                 1.2686,                 0.6751,                0.79025,                 0.7841,                0.58114,                 1.0672,                 1.1907,                 1.6741,             0.00019213,             0.00019213,             0.00019213
                     45,                0.78256,                 1.0503,                 1.2681,                 0.7342,                0.75651,                0.78592,                0.60047,                 1.0384,                 1.1634,                 1.6417,              0.0001897,              0.0001897,              0.0001897
                     46,                0.76342,                 1.0261,                  1.252,                 0.7761,                0.72814,                0.77772,                0.58799,                 1.0414,                 1.1706,                   1.64,             0.00018728,             0.00018728,             0.00018728
                     47,                0.76922,                 1.0302,                  1.258,                0.68272,                0.77978,                 0.7946,                 0.6081,                 1.0291,                 1.1327,                 1.6204,             0.00018485,             0.00018485,             0.00018485
                     48,                0.74167,                 1.0134,                 1.2479,                0.73629,                0.79831,                0.79809,                0.60665,                 1.0334,                 1.0729,                 1.6411,             0.00018243,             0.00018243,             0.00018243
                     49,                0.75972,                0.98882,                 1.2576,                0.76863,                0.73357,                0.78201,                0.60085,                 1.0374,                 1.1636,                 1.6447,                0.00018,                0.00018,                0.00018
                     50,                0.74883,                0.96479,                 1.2437,                0.68096,                 0.7872,                0.78401,                0.59025,                 1.0679,                  1.167,                 1.6705,             0.00017758,             0.00017758,             0.00017758
                     51,                0.73395,                0.96862,                 1.2437,                  0.674,                0.77935,                0.79453,                0.60763,                 1.0369,                  1.117,                  1.644,             0.00017515,             0.00017515,             0.00017515
                     52,                0.73909,                0.95936,                 1.2306,                0.73016,                0.80105,                 0.8019,                0.61063,                  1.043,                  1.076,                 1.6516,             0.00017272,             0.00017272,             0.00017272
                     53,                0.73314,                0.95005,                 1.2279,                0.69714,                0.81536,                0.80061,                0.61379,                 1.0098,                 1.0716,                  1.623,              0.0001703,              0.0001703,              0.0001703
                     54,                0.74273,                0.94677,                 1.2306,                0.74655,                0.78715,                 0.7933,                0.60275,                 1.0237,                 1.0543,                 1.6189,             0.00016787,             0.00016787,             0.00016787
                     55,                0.72864,                0.91906,                 1.2326,                0.77414,                0.74508,                0.80483,                 0.6125,                 1.0134,                 1.0735,                 1.6314,             0.00016545,             0.00016545,             0.00016545
                     56,                0.74141,                0.95547,                 1.2374,                0.76739,                0.75459,                0.80053,                0.60996,                 1.0142,                  1.071,                 1.6048,             0.00016302,             0.00016302,             0.00016302
                     57,                0.72695,                0.93004,                 1.2308,                0.80352,                0.71872,                0.81363,                0.62511,                 1.0341,                 1.0915,                 1.6291,              0.0001606,              0.0001606,              0.0001606
                     58,                0.73049,                0.92188,                 1.2357,                 0.7845,                 0.7387,                0.78443,                0.59869,                 1.0446,                 1.1061,                 1.6422,             0.00015817,             0.00015817,             0.00015817
                     59,                0.71816,                0.93094,                 1.2258,                0.72763,                0.77915,                0.78089,                0.59822,                 1.0193,                 1.1213,                 1.6299,             0.00015575,             0.00015575,             0.00015575
                     60,                0.71055,                 0.9164,                 1.2192,                0.73867,                0.77688,                0.80142,                 0.6154,                  1.025,                 1.0715,                 1.6352,             0.00015332,             0.00015332,             0.00015332
                     61,                0.70348,                0.90764,                  1.213,                0.73402,                0.78869,                0.79954,                0.62066,                 1.0109,                  1.026,                 1.6351,              0.0001509,              0.0001509,              0.0001509
                     62,                0.71581,                0.90288,                 1.2236,                0.70823,                0.79643,                0.83452,                0.62715,                 1.0138,                  1.038,                 1.6163,             0.00014847,             0.00014847,             0.00014847
                     63,                0.71331,                0.89554,                 1.2258,                0.75756,                 0.7926,                0.81893,                0.63025,                 1.0201,                 1.0493,                 1.6314,             0.00014604,             0.00014604,             0.00014604
                     64,                 0.7253,                0.88666,                 1.2232,                0.78208,                0.77174,                0.83015,                0.62958,                 1.0395,                 1.0561,                 1.6448,             0.00014362,             0.00014362,             0.00014362
                     65,                0.70519,                0.88788,                 1.2094,                0.76796,                0.77477,                0.82593,                  0.628,                 1.0153,                 1.0455,                 1.6213,             0.00014119,             0.00014119,             0.00014119
                     66,                0.69211,                0.87354,                 1.2037,                0.76482,                0.75145,                0.79975,                0.61516,                 1.0302,                 1.1017,                 1.6352,             0.00013877,             0.00013877,             0.00013877
                     67,                0.70875,                0.88688,                 1.2177,                0.75856,                0.76002,                0.81546,                0.63186,                 1.0026,                 1.0461,                 1.6093,             0.00013634,             0.00013634,             0.00013634
                     68,                0.67842,                0.84615,                  1.191,                0.75572,                0.77615,                0.80046,                0.61677,                 1.0016,                 1.0558,                 1.5986,             0.00013392,             0.00013392,             0.00013392
                     69,                0.71021,                0.84779,                  1.214,                0.81281,                0.73476,                0.81065,                0.62101,                 1.0032,                 1.0412,                 1.6035,             0.00013149,             0.00013149,             0.00013149
                     70,                0.68727,                0.83324,                  1.193,                0.77091,                0.76664,                0.81353,                0.62367,                 1.0054,                 1.0308,                 1.6042,             0.00012907,             0.00012907,             0.00012907
                     71,                0.67437,                0.82594,                 1.1938,                0.81253,                0.71979,                0.82047,                 0.6388,                 1.0113,                 1.0371,                 1.6241,             0.00012664,             0.00012664,             0.00012664
                     72,                0.69861,                0.84435,                 1.2072,                0.77329,                0.76852,                0.81633,                0.62189,                 1.0338,                 1.0467,                  1.622,             0.00012422,             0.00012422,             0.00012422
                     73,                0.68136,                 0.8322,                 1.1985,                0.76238,                0.74661,                0.78861,                0.60638,                 1.0035,                 1.1056,                 1.6013,             0.00012179,             0.00012179,             0.00012179
                     74,                0.67986,                0.79815,                 1.2019,                 0.7392,                0.75923,                0.80069,                0.61673,                 1.0154,                 1.0336,                 1.6234,             0.00011936,             0.00011936,             0.00011936
                     75,                0.67102,                0.80768,                 1.1925,                0.72703,                 0.8052,                0.80249,                0.61661,                0.99946,                 1.0673,                 1.6138,             0.00011694,             0.00011694,             0.00011694
                     76,                 0.6768,                0.81497,                 1.1966,                0.78893,                0.74887,                0.81198,                0.61925,                 1.0125,                 1.0332,                  1.617,             0.00011451,             0.00011451,             0.00011451
                     77,                0.67186,                0.81003,                 1.1818,                0.81759,                0.72717,                 0.8161,                0.63103,                 1.0133,                 1.0389,                 1.6164,             0.00011209,             0.00011209,             0.00011209
                     78,                0.68848,                0.79376,                 1.1905,                0.81465,                0.73012,                 0.8231,                0.63123,                 1.0095,                  1.065,                 1.6215,             0.00010966,             0.00010966,             0.00010966
                     79,                0.67496,                0.81803,                 1.1895,                0.77262,                0.75797,                0.82386,                0.63471,                0.99836,                 1.0281,                 1.6161,             0.00010724,             0.00010724,             0.00010724
                     80,                0.67002,                0.81156,                 1.1852,                0.75299,                0.77484,                0.80498,                0.61745,                  1.024,                 1.0419,                 1.6331,             0.00010481,             0.00010481,             0.00010481
                     81,                0.67003,                0.81005,                 1.1868,                0.74334,                0.77228,                0.80685,                0.62269,                 1.0175,                 1.0293,                 1.6426,             0.00010239,             0.00010239,             0.00010239
                     82,                0.65768,                0.78756,                 1.1807,                0.72783,                0.78988,                0.79221,                0.61298,                  1.008,                 1.0442,                 1.6221,              9.996e-05,              9.996e-05,              9.996e-05
                     83,                0.68529,                0.80222,                 1.1891,                0.77861,                0.78328,                0.81013,                0.62234,                0.99166,                 1.0131,                 1.6025,             9.7534e-05,             9.7534e-05,             9.7534e-05
                     84,                0.66306,                0.78259,                 1.1792,                0.75667,                0.79158,                 0.8147,                 0.6291,                0.99359,                0.99735,                 1.6038,             9.5109e-05,             9.5109e-05,             9.5109e-05
                     85,                0.65194,                0.77223,                 1.1701,                0.75657,                0.78295,                0.79274,                0.61913,                  1.004,                 1.0278,                 1.6143,             9.2684e-05,             9.2684e-05,             9.2684e-05
                     86,                0.65357,                0.75224,                  1.165,                0.76717,                0.75064,                0.78733,                0.61806,                0.98969,                  1.053,                 1.5947,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     87,                0.65292,                0.75974,                 1.1761,                0.78823,                0.75338,                0.80219,                 0.6238,                  1.013,                 1.0432,                 1.6144,             8.7832e-05,             8.7832e-05,             8.7832e-05
                     88,                0.64565,                0.76604,                 1.1708,                0.76817,                0.76377,                0.79611,                0.61942,                0.99835,                 1.0327,                 1.6134,             8.5407e-05,             8.5407e-05,             8.5407e-05
                     89,                0.64499,                0.76816,                 1.1666,                0.76955,                 0.7759,                0.79752,                0.61781,                 1.0057,                 1.0359,                  1.625,             8.2981e-05,             8.2981e-05,             8.2981e-05
                     90,                0.64939,                0.75359,                 1.1685,                0.78606,                0.73389,                0.80131,                0.62186,                  1.005,                 1.0258,                 1.6254,             8.0556e-05,             8.0556e-05,             8.0556e-05
                     91,                0.63392,                0.74977,                 1.1611,                0.76518,                0.73351,                0.78998,                0.61059,                0.99967,                 1.0535,                  1.617,              7.813e-05,              7.813e-05,              7.813e-05
                     92,                0.63103,                0.72517,                 1.1508,                 0.8455,                0.69661,                0.79462,                0.61526,                 1.0025,                  1.063,                 1.6344,             7.5705e-05,             7.5705e-05,             7.5705e-05
                     93,                0.64194,                0.74742,                 1.1631,                0.74714,                0.77696,                0.79297,                0.61322,                0.99929,                 1.0457,                 1.6179,              7.328e-05,              7.328e-05,              7.328e-05
                     94,                0.64558,                0.74624,                 1.1655,                0.72856,                0.78548,                0.79784,                0.61853,                 1.0004,                 1.0457,                 1.6214,             7.0854e-05,             7.0854e-05,             7.0854e-05
                     95,                  0.654,                0.73834,                 1.1695,                0.77304,                0.76755,                0.80024,                0.62204,                0.98814,                 1.0596,                 1.6082,             6.8428e-05,             6.8428e-05,             6.8428e-05
                     96,                0.63745,                0.73658,                 1.1636,                0.81896,                0.73074,                0.80901,                0.63375,                 0.9958,                  1.012,                 1.6026,             6.6003e-05,             6.6003e-05,             6.6003e-05
                     97,                0.64058,                0.72572,                  1.163,                0.77817,                0.75912,                0.79897,                0.62214,                0.99314,                 1.0379,                 1.6036,             6.3578e-05,             6.3578e-05,             6.3578e-05
                     98,                 0.6286,                0.73281,                  1.163,                  0.786,                0.75646,                0.79162,                0.62197,                0.98769,                  1.052,                 1.6059,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     99,                0.64869,                 0.7427,                 1.1659,                0.84774,                0.71101,                0.80702,                0.63096,                0.98977,                 1.0263,                 1.6071,             5.8726e-05,             5.8726e-05,             5.8726e-05
                    100,                0.63765,                0.72636,                 1.1591,                0.73038,                0.78675,                0.79845,                 0.6272,                 0.9932,                  1.041,                 1.6202,             5.6301e-05,             5.6301e-05,             5.6301e-05
                    101,                0.61812,                0.72087,                  1.152,                0.75982,                0.77212,                 0.8058,                0.63106,                0.99197,                 1.0262,                 1.6115,             5.3876e-05,             5.3876e-05,             5.3876e-05
                    102,                0.65382,                0.72464,                 1.1655,                0.75432,                 0.7714,                0.79753,                0.62182,                0.98371,                 1.0328,                  1.599,              5.145e-05,              5.145e-05,              5.145e-05
                    103,                0.61966,                0.70571,                 1.1489,                0.80185,                0.77207,                 0.8049,                0.62694,                0.98869,                 1.0266,                  1.606,             4.9024e-05,             4.9024e-05,             4.9024e-05
                    104,                0.62332,                0.70715,                 1.1474,                0.75513,                0.77883,                0.81837,                0.63814,                0.99543,                 1.0258,                  1.623,             4.6599e-05,             4.6599e-05,             4.6599e-05
                    105,                0.62729,                0.71917,                 1.1597,                  0.847,                0.73371,                0.82696,                0.64296,                 0.9986,                 1.0097,                  1.623,             4.4174e-05,             4.4174e-05,             4.4174e-05
                    106,                 0.6106,                0.68496,                 1.1473,                0.83178,                0.74435,                0.81077,                0.63451,                0.98769,                 1.0056,                 1.6081,             4.1748e-05,             4.1748e-05,             4.1748e-05
                    107,                0.60697,                0.70345,                 1.1399,                0.76266,                0.77099,                0.79943,                 0.6256,                0.98636,                 1.0395,                 1.6096,             3.9323e-05,             3.9323e-05,             3.9323e-05
                    108,                0.60988,                0.68977,                  1.144,                0.79768,                0.74923,                0.81118,                0.63435,                0.99226,                 1.0236,                 1.6153,             3.6897e-05,             3.6897e-05,             3.6897e-05
                    109,                0.61398,                0.70307,                 1.1514,                0.80724,                0.74489,                0.80899,                 0.6307,                0.99774,                 1.0443,                 1.6222,             3.4471e-05,             3.4471e-05,             3.4471e-05
                    110,                0.61476,                0.69224,                 1.1486,                0.83071,                0.73626,                0.81689,                0.64073,                0.98524,                 1.0192,                 1.6107,             3.2046e-05,             3.2046e-05,             3.2046e-05
                    111,                0.56182,                0.67556,                 1.1926,                0.78933,                 0.7722,                0.80706,                0.62926,                0.99112,                  1.019,                 1.6214,             2.9621e-05,             2.9621e-05,             2.9621e-05
                    112,                0.54319,                0.60714,                 1.1664,                0.76153,                0.77548,                 0.8085,                 0.6333,                0.98846,                  1.002,                 1.6144,             2.7195e-05,             2.7195e-05,             2.7195e-05
                    113,                0.53258,                 0.5971,                 1.1764,                 0.7965,                0.75097,                 0.8049,                0.62924,                0.99828,                 1.0248,                 1.6356,             2.4769e-05,             2.4769e-05,             2.4769e-05
                    114,                0.52712,                0.58786,                 1.1575,                0.76682,                0.76959,                0.80229,                0.63128,                0.99181,                 1.0284,                 1.6299,             2.2344e-05,             2.2344e-05,             2.2344e-05
                    115,                0.52678,                0.58294,                 1.1578,                0.78381,                0.75588,                0.79431,                0.62085,                0.99752,                 1.0107,                 1.6381,             1.9919e-05,             1.9919e-05,             1.9919e-05
                    116,                0.51601,                0.58128,                 1.1536,                0.79081,                0.74485,                0.79463,                0.61631,                0.99155,                 1.0057,                 1.6357,             1.7493e-05,             1.7493e-05,             1.7493e-05
                    117,                0.52001,                0.58022,                 1.1516,                0.78149,                0.75236,                0.80199,                0.62697,                0.99318,                 1.0153,                 1.6307,             1.5067e-05,             1.5067e-05,             1.5067e-05
                    118,                0.52685,                0.58652,                 1.1574,                0.79015,                0.75304,                0.80687,                0.63126,                0.99096,                 1.0133,                 1.6314,             1.2642e-05,             1.2642e-05,             1.2642e-05
                    119,                0.52411,                0.56975,                 1.1631,                0.80135,                0.74834,                0.80728,                 0.6313,                0.98738,                 1.0111,                 1.6244,             1.0217e-05,             1.0217e-05,             1.0217e-05
                    120,                0.51148,                0.56721,                 1.1454,                 0.7991,                0.75326,                0.80647,                0.63238,                0.98723,                   1.01,                 1.6258,              7.791e-06,              7.791e-06,              7.791e-06
