                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0042,                 4.2579,                 1.5244,                0.01673,                0.43404,                0.06191,                0.04219,                 1.0008,                 3.6582,                  1.677,             9.6819e-05,             9.6819e-05,             9.6819e-05
                      2,                0.97924,                 3.6723,                 1.5054,                0.46807,                0.23971,                0.17702,                 0.1128,                 1.1055,                 2.9487,                 1.7984,             0.00019321,             0.00019321,             0.00019321
                      3,                 1.0123,                 3.0979,                 1.5241,                0.62659,                0.31321,                0.31242,                0.20705,                 1.1163,                 2.8122,                  1.788,             0.00028799,             0.00028799,             0.00028799
                      4,                 1.0346,                 2.7938,                 1.5219,                0.47827,                 0.4302,                0.39138,                0.27086,                 1.1058,                 2.3214,                 1.7761,             0.00028672,             0.00028672,             0.00028672
                      5,                 1.0083,                 2.5275,                 1.4995,                0.45849,                0.38022,                 0.4032,                0.26375,                 1.1403,                 2.1563,                 1.7871,             0.00028672,             0.00028672,             0.00028672
                      6,                0.98309,                 2.3879,                 1.4832,                0.66433,                0.50151,                0.49723,                0.34226,                 1.1093,                 1.8566,                 1.7541,              0.0002843,              0.0002843,              0.0002843
                      7,                0.97331,                 2.2513,                 1.4581,                0.58067,                0.55894,                0.55474,                0.39352,                 1.0576,                 1.9576,                 1.7334,             0.00028187,             0.00028187,             0.00028187
                      8,                0.96067,                 2.1263,                 1.4514,                0.56428,                0.57034,                0.58649,                0.42339,                 1.0993,                 1.8072,                 1.7461,             0.00027945,             0.00027945,             0.00027945
                      9,                0.95443,                 2.0243,                 1.4297,                0.56679,                0.69396,                0.63175,                 0.4501,                 1.0861,                 1.7231,                 1.7415,             0.00027702,             0.00027702,             0.00027702
                     10,                0.95057,                 1.9126,                 1.4277,                0.58119,                0.63807,                0.63466,                0.43842,                 1.1185,                 1.7913,                 1.7842,              0.0002746,              0.0002746,              0.0002746
                     11,                0.91409,                 1.8723,                 1.4006,                0.57138,                0.67391,                 0.6429,                0.45444,                 1.1027,                 1.5925,                 1.7265,             0.00027217,             0.00027217,             0.00027217
                     12,                 0.9123,                 1.8221,                 1.3922,                 0.5986,                0.61208,                0.64998,                0.47039,                 1.0831,                  1.712,                 1.7295,             0.00026974,             0.00026974,             0.00026974
                     13,                0.91188,                 1.7544,                 1.3906,                0.61186,                0.69085,                0.71189,                0.51191,                 1.0571,                 1.5469,                 1.7048,             0.00026732,             0.00026732,             0.00026732
